JDTDB,Calendar Date (TDB),X,Y,Z,VX,VY,VZ,LT,RG,RR,
2458350.344714629, A.D. 2018-Aug-19 20:16:23.3440,  2.749526027590501E+07, -1.052932610130594E+08, -3.088633508415647E+06,  3.364649241461868E+01,  8.731063384942537E+00, -1.811283628996696E+00,  3.631439216376293E+02,  1.088678088755043E+08,  1.046344353423541E-01,
2458350.594714629, A.D. 2018-Aug-20 02:16:23.3440,  2.822135900626242E+07, -1.051021452707782E+08, -3.127682816021137E+06,  3.358460330268673E+01,  8.964765508588206E+00, -1.804378613932889E+00,  3.631514072963817E+02,  1.088700530195414E+08,  1.031558611283781E-01,
2458350.844714629, A.D. 2018-Aug-20 08:16:23.3440,  2.894610356342967E+07, -1.049059863434257E+08, -3.166582044223778E+06,  3.352110653324181E+01,  9.198023141702414E+00, -1.797387444306170E+00,  3.631587862481121E+02,  1.088722651736181E+08,  1.016724137412798E-01,
2458351.094714629, A.D. 2018-Aug-20 14:16:23.3440,  2.966945925629170E+07, -1.047047939501048E+08, -3.205329335747875E+06,  3.345600529303506E+01,  9.430825352250713E+00, -1.790310459904833E+00,  3.631660581442567E+02,  1.088744452332376E+08,  1.001841639423347E-01,
2458351.344714629, A.D. 2018-Aug-20 20:16:23.3440,  3.039139146334484E+07, -1.044985780457994E+08, -3.243922840698279E+06,  3.338930284078466E+01,  9.663161231519018E+00, -1.783148004324924E+00,  3.631732226413580E+02,  1.088765930954339E+08,  9.869118270060451E-02,
2458351.594714629, A.D. 2018-Aug-21 02:16:23.3440,  3.111186563424939E+07, -1.042873488208658E+08, -3.282360716642499E+06,  3.332100250700342E+01,  9.895019894558217E+00, -1.775900424953968E+00,  3.631802794010792E+02,  1.088787086587763E+08,  9.719354118976713E-02,
2458351.844714629, A.D. 2018-Aug-21 08:16:23.3440,  3.183084729137857E+07, -1.040711167005146E+08, -3.320641128692463E+06,  3.325110769382437E+01,  1.012639048062752E+01, -1.768568072954558E+00,  3.631872280902186E+02,  1.088807918233733E+08,  9.569131078498105E-02,
2458352.094714629, A.D. 2018-Aug-21 14:16:23.3440,  3.254830203136359E+07, -1.038498923442827E+08, -3.358762249585740E+06,  3.317962187482377E+01,  1.035726215363648E+01, -1.761151303247839E+00,  3.631940683807244E+02,  1.088828424908774E+08,  9.418456305966028E-02,
2458352.344714629, A.D. 2018-Aug-21 20:16:23.3440,  3.326419552663484E+07, -1.036236866454968E+08, -3.396722259766765E+06,  3.310654859484202E+01,  1.058762410258575E+01, -1.753650474496885E+00,  3.632007999497087E+02,  1.088848605644894E+08,  9.267336978224988E-02,
2458352.594714629, A.D. 2018-Aug-22 02:16:23.3440,  3.397849352695931E+07, -1.033925107307259E+08, -3.434519347467199E+06,  3.303189146979970E+01,  1.081746554200424E+01, -1.746065949089946E+00,  3.632074224794613E+02,  1.088868459489622E+08,  9.115780291437475E-02,
2458352.844714629, A.D. 2018-Aug-22 08:16:23.3440,  3.469116186097390E+07, -1.031563759592256E+08, -3.472151708786517E+06,  3.295565418651868E+01,  1.104677571238996E+01, -1.738398093123536E+00,  3.632139356574638E+02,  1.088887985506049E+08,  8.963793460641598E-02,
2458353.094714629, A.D. 2018-Aug-22 14:16:23.3440,  3.540216643771494E+07, -1.029152939223724E+08, -3.509617547771715E+06,  3.287784050253618E+01,  1.127554388064923E+01, -1.730647276385548E+00,  3.632203391764030E+02,  1.088907182772875E+08,  8.811383719208624E-02,
2458353.344714629, A.D. 2018-Aug-22 20:16:23.3440,  3.611147324814354E+07, -1.026692764430885E+08, -3.546915076496877E+06,  3.279845424590933E+01,  1.150375934052519E+01, -1.722813872338156E+00,  3.632266327341835E+02,  1.088926050384441E+08,  8.658558318940675E-02,
2458353.594714629, A.D. 2018-Aug-23 02:16:23.3440,  3.681904836666678E+07, -1.024183355752574E+08, -3.584042515142471E+06,  3.271749931502995E+01,  1.173141141303588E+01, -1.714898258100611E+00,  3.632328160339419E+02,  1.088944587450773E+08,  8.505324529524477E-02,
2458353.844714629, A.D. 2018-Aug-23 08:16:23.3440,  3.752485795265487E+07, -1.021624836031303E+08, -3.620998092074044E+06,  3.263497967843148E+01,  1.195848944690685E+01, -1.706900814431938E+00,  3.632388887840585E+02,  1.088962793097615E+08,  8.351689638209987E-02,
