JDTDB,Calendar Date (TDB),X,Y,Z,VX,VY,VZ,
2460140.791666667, A.D. 2023-Jul-15 07:00:00.0000,  3.856079091607217E+04,  3.951173652079935E+05,  2.820182580851440E+04, -9.808407334770413E-01,  1.273604408223637E-01,  5.286039274475588E-02,
2460140.812500000, A.D. 2023-Jul-15 07:30:00.0000,  3.679485708056090E+04,  3.953425525408789E+05,  2.829668007145854E+04, -9.813045424739845E-01,  1.228476574486813E-01,  5.253307538947571E-02,
2460140.833333333, A.D. 2023-Jul-15 08:00:00.0000,  3.502810690871578E+04,  3.955596166230470E+05,  2.839094431559858E+04, -9.817477755651175E-01,  1.183346211343213E-01,  5.220481750438596E-02,
2460140.854166667, A.D. 2023-Jul-15 08:30:00.0000,  3.326057742779793E+04,  3.957685570771531E+05,  2.848461685450844E+04, -9.821704432146114E-01,  1.138214184665371E-01,  5.187562634294688E-02,
2460140.875000000, A.D. 2023-Jul-15 09:00:00.0000,  3.149230564594250E+04,  3.959693736815886E+05,  2.857769601482200E+04, -9.825725562092571E-01,  1.093081358976376E-01,  5.154550916296249E-02,
2460140.895833333, A.D. 2023-Jul-15 09:30:00.0000,  2.972332855157884E+04,  3.961620663702366E+05,  2.867018013624114E+04, -9.829541256575279E-01,  1.047948597441870E-01,  5.121447322647248E-02,
2460140.916666667, A.D. 2023-Jul-15 10:00:00.0000,  2.795368311285209E+04,  3.963466352322276E+05,  2.876206757154301E+04, -9.833151629886441E-01,  1.002816761862087E-01,  5.088252579964472E-02,
2460140.937500000, A.D. 2023-Jul-15 10:30:00.0000,  2.618340627704696E+04,  3.965230805116927E+05,  2.885335668658765E+04, -9.836556799516371E-01,  9.576867126639084E-02,  5.054967415266769E-02,
2460140.958333333, A.D. 2023-Jul-15 11:00:00.0000,  2.441253497001269E+04,  3.966914026075151E+05,  2.894404586032490E+04, -9.839756886144131E-01,  9.125593088929398E-02,  5.021592555964337E-02,
2460140.979166667, A.D. 2023-Jul-15 11:30:00.0000,  2.264110609559003E+04,  3.968516020730819E+05,  2.903413348480142E+04, -9.842752013628170E-01,  8.674354082056236E-02,  4.988128729847993E-02,
2460141.000000000, A.D. 2023-Jul-15 12:00:00.0000,  2.086915653503981E+04,  3.970036796160325E+05,  2.912361796516745E+04, -9.845542308996956E-01,  8.223158668613685E-02,  4.954576665078515E-02,
2460141.020833333, A.D. 2023-Jul-15 12:30:00.0000,  1.909672314647301E+04,  3.971476360980067E+05,  2.921249771968334E+04, -9.848127902439612E-01,  7.772015397147075E-02,  4.920937090175941E-02,
2460141.041666667, A.D. 2023-Jul-15 13:00:00.0000,  1.732384276428295E+04,  3.972834725343910E+05,  2.930077117972609E+04, -9.850508927296550E-01,  7.320932802074780E-02,  4.887210734008930E-02,
2460141.062500000, A.D. 2023-Jul-15 13:30:00.0000,  1.555055219857870E+04,  3.974111900940639E+05,  2.938843678979526E+04, -9.852685520050091E-01,  6.869919403610361E-02,  4.853398325784140E-02,
2460141.083333333, A.D. 2023-Jul-15 14:00:00.0000,  1.377688823462047E+04,  3.975307900991391E+05,  2.947549300751914E+04, -9.854657820315103E-01,  6.418983707684839E-02,  4.819500595035610E-02,
2460141.104166667, A.D. 2023-Jul-15 14:30:00.0000,  1.200288763225652E+04,  3.976422740247080E+05,  2.956193830366046E+04, -9.856425970829601E-01,  5.968134205869340E-02,  4.785518271614152E-02,
2460141.125000000, A.D. 2023-Jul-15 15:00:00.0000,  1.022858712536194E+04,  3.977456434985807E+05,  2.964777116212211E+04, -9.857990117445383E-01,  5.517379375297955E-02,  4.751452085676782E-02,
2460141.145833333, A.D. 2023-Jul-15 15:30:00.0000,  8.454023421278960E+03,  3.978409003010249E+05,  2.973299007995237E+04, -9.859350409118629E-01,  5.066727678590850E-02,  4.717302767676181E-02,
2460141.166666667, A.D. 2023-Jul-15 16:00:00.0000,  6.679233200258892E+03,  3.979280463645043E+05,  2.981759356735041E+04, -9.860506997900506E-01,  4.616187563777671E-02,  4.683071048350120E-02,
2460141.187500000, A.D. 2023-Jul-15 16:30:00.0000,  4.904253114906175E+03,  3.980070837734154E+05,  2.990158014767108E+04, -9.861460038927773E-01,  4.165767464221191E-02,  4.648757658710978E-02,
2460141.208333333, A.D. 2023-Jul-15 17:00:00.0000,  3.129119789623529E+03,  3.980780147638225E+05,  2.998494835742973E+04, -9.862209690413374E-01,  3.715475798541260E-02,  4.614363330035205E-02,
2460141.229166667, A.D. 2023-Jul-15 17:30:00.0000,  1.353869820059185E+03,  3.981408417231919E+05,  3.006769674630722E+04, -9.862756113637012E-01,  3.265320970538980E-02,  4.579888793852863E-02,
2460141.250000000, A.D. 2023-Jul-15 18:00:00.0000, -4.214602274441979E+02,  3.981955671901244E+05,  3.014982387715401E+04, -9.863099472935756E-01,  2.815311369121199E-02,  4.545334781937153E-02,
2460141.270833333, A.D. 2023-Jul-15 18:30:00.0000, -2.196833816399201E+03,  3.982421938540865E+05,  3.023132832599457E+04, -9.863239935694572E-01,  2.365455368225249E-02,  4.510702026293964E-02,
2460141.291666667, A.D. 2023-Jul-15 19:00:00.0000, -3.972214440721198E+03,  3.982807245551400E+05,  3.031220868203157E+04, -9.863177672336932E-01,  1.915761326743977E-02,  4.475991259151452E-02,
2460141.312500000, A.D. 2023-Jul-15 19:30:00.0000, -5.747565625274615E+03,  3.983111622836713E+05,  3.039246354764965E+04, -9.862912856315337E-01,  1.466237588451078E-02,  4.441203212949620E-02,
2460141.333333333, A.D. 2023-Jul-15 20:00:00.0000, -7.522850926417183E+03,  3.983335101801179E+05,  3.047209153841919E+04, -9.862445664101882E-01,  1.016892481926655E-02,  4.406338620329944E-02,
2460141.354166667, A.D. 2023-Jul-15 20:30:00.0000, -9.298033932542727E+03,  3.983477715346942E+05,  3.055109128309996E+04, -9.861776275178780E-01,  5.677343204831426E-03,  4.371398214124979E-02,
2460141.375000000, A.D. 2023-Jul-15 21:00:00.0000, -1.107307826462196E+04,  3.983539497871167E+05,  3.062946142364424E+04, -9.860904872028913E-01,  1.187714020914478E-03,  4.336382727348025E-02,
2460141.395833333, A.D. 2023-Jul-15 21:30:00.0000, -1.284794757674200E+04,  3.983520485263263E+05,  3.070720061520010E+04, -9.859831640126325E-01, -3.299879906925639E-03,  4.301292893182786E-02,
2460141.416666667, A.D. 2023-Jul-15 22:00:00.0000, -1.462260555664370E+04,  3.983420714902109E+05,  3.078430752611454E+04, -9.858556767926757E-01, -7.785355908013195E-03,  4.266129444973049E-02,
2460141.437500000, A.D. 2023-Jul-15 22:30:00.0000, -1.639701592625755E+04,  3.983240225653257E+05,  3.086078083793583E+04, -9.857080446858132E-01, -1.226863146728451E-02,  4.230893116212391E-02,
2460141.458333333, A.D. 2023-Jul-15 23:00:00.0000, -1.817114244223799E+04,  3.982979057866122E+05,  3.093661924541666E+04, -9.855402871311044E-01, -1.674962422601469E-02,  4.195584640533904E-02,
2460141.479166667, A.D. 2023-Jul-15 23:30:00.0000, -1.994494889649558E+04,  3.982637253371165E+05,  3.101182145651610E+04, -9.853524238629243E-01, -2.122825198254071E-02,  4.160204751699934E-02,
2460141.500000000, A.D. 2023-Jul-16 00:00:00.0000, -2.171839911672780E+04,  3.982214855477058E+05,  3.108638619240219E+04, -9.851444749100104E-01, -2.570443269298146E-02,  4.124754183591844E-02,
2460141.520833333, A.D. 2023-Jul-16 00:30:00.0000, -2.349145696694820E+04,  3.981711908967838E+05,  3.116031218745367E+04, -9.849164605945068E-01, -3.017808447195534E-02,  4.089233670199793E-02,
2460141.541666667, A.D. 2023-Jul-16 01:00:00.0000, -2.526408634801340E+04,  3.981128460100046E+05,  3.123359818926218E+04, -9.846684015310107E-01, -3.464912559329361E-02,  4.053643945612535E-02,
2460141.562500000, A.D. 2023-Jul-16 01:30:00.0000, -2.703625119814887E+04,  3.980464556599855E+05,  3.130624295863355E+04, -9.844003186256141E-01, -3.911747449075174E-02,  4.017985744007250E-02,
2460141.583333333, A.D. 2023-Jul-16 02:00:00.0000, -2.880791549347268E+04,  3.979720247660188E+05,  3.137824526958982E+04, -9.841122330749467E-01, -4.358304975871648E-02,  3.982259799639370E-02,
2460141.604166667, A.D. 2023-Jul-16 02:30:00.0000, -3.057904324851749E+04,  3.978895583937817E+05,  3.144960390936999E+04, -9.838041663652163E-01, -4.804577015291036E-02,  3.946466846832449E-02,
2460141.625000000, A.D. 2023-Jul-16 03:00:00.0000, -3.234959851675115E+04,  3.977990617550451E+05,  3.152031767843146E+04, -9.834761402712487E-01, -5.250555459109263E-02,  3.910607619968039E-02,
2460141.645833333, A.D. 2023-Jul-16 03:30:00.0000, -3.411954539109520E+04,  3.977005402073823E+05,  3.159038539045100E+04, -9.831281768555256E-01, -5.696232215375695E-02,  3.874682853475596E-02,
2460141.666666667, A.D. 2023-Jul-16 04:00:00.0000, -3.588884800444177E+04,  3.975939992538739E+05,  3.165980587232561E+04, -9.827602984672215E-01, -6.141599208482550E-02,  3.838693281822398E-02,
2460141.687500000, A.D. 2023-Jul-16 04:30:00.0000, -3.765747053016888E+04,  3.974794445428144E+05,  3.172857796417264E+04, -9.823725277412402E-01, -6.586648379234021E-02,  3.802639639503495E-02,
2460141.708333333, A.D. 2023-Jul-16 05:00:00.0000, -3.942537718265376E+04,  3.973568818674153E+05,  3.179670051933083E+04, -9.819648875972485E-01, -7.031371684914978E-02,  3.766522661031669E-02,
2460141.729166667, A.D. 2023-Jul-16 05:30:00.0000, -4.119253221778459E+04,  3.972263171655081E+05,  3.186417240436000E+04, -9.815374012387093E-01, -7.475761099359390E-02,  3.730343080927417E-02,
2460141.750000000, A.D. 2023-Jul-16 06:00:00.0000, -4.295889993347052E+04,  3.970877565192464E+05,  3.193099249904152E+04, -9.810900921519130E-01, -7.919808613018364E-02,  3.694101633708971E-02,
2460141.770833333, A.D. 2023-Jul-16 06:30:00.0000, -4.472444467014980E+04,  3.969412061548047E+05,  3.199715969637787E+04, -9.806229841050090E-01, -8.363506233027827E-02,  3.657799053882313E-02,
