            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2458353.094714629, A.D. 2018-Aug-22 14:16:23.3440,  1.289963911898593E+08, -7.907093893286182E+07,  1.029443288731202E+04,  1.507092286106260E+01,  2.528783397307150E+01, -3.152294546735490E-03,  5.046890065040913E+02,  1.513019577854395E+08, -3.664073361229211E-01,
2458353.344714629, A.D. 2018-Aug-22 20:16:23.3440,  1.293207710899468E+08, -7.852402319197084E+07,  1.022644955686852E+04,  1.496421076943813E+01,  2.535244039241633E+01, -3.142936493986781E-03,  5.046625693629980E+02,  1.512940321299286E+08, -3.674459147487891E-01,
2458353.594714629, A.D. 2018-Aug-23 02:16:23.3440,  1.296428432720473E+08, -7.797571661827300E+07,  1.015863724738732E+04,  1.485724547477853E+01,  2.541661481653097E+01, -3.136464871216660E-03,  5.046360581916823E+02,  1.512860842807155E+08, -3.684624393301590E-01,
2458353.844714629, A.D. 2018-Aug-23 08:16:23.3440,  1.299626022801122E+08, -7.742602854108171E+07,  1.009093326556683E+04,  1.475002818628717E+01,  2.548035740909251E+01, -3.132910990091275E-03,  5.046094745506599E+02,  1.512781147056307E+08, -3.694577032588510E-01,
2458354.094714629, A.D. 2018-Aug-23 14:16:23.3440,  1.302800426837403E+08, -7.687496828627168E+07,  1.002327429183200E+04,  1.464256006924261E+01,  2.554366832474043E+01, -3.132301504130908E-03,  5.045828199426221E+02,  1.512701238551701E+08, -3.704325185115277E-01,
2458354.344714629, A.D. 2018-Aug-23 20:16:23.3440,  1.305951590772112E+08, -7.632254517648067E+07,  9.955596482511610E+03,  1.453484224336061E+01,  2.560654770840054E+01, -3.134658252269773E-03,  5.045560958110370E+02,  1.512621121620742E+08, -3.713877173780259E-01,
2458354.594714629, A.D. 2018-Aug-24 02:16:23.3440,  1.309079460784835E+08, -7.576876853133024E+07,  9.887835575900972E+03,  1.442687578112894E+01,  2.566899569422814E+01, -3.139998080623485E-03,  5.045293035386258E+02,  1.512540800408727E+08, -3.723241540541886E-01,
2458354.844714629, A.D. 2018-Aug-24 08:16:23.3440,  1.312183983281564E+08, -7.521364766767298E+07,  9.819927002023906E+03,  1.431866170616495E+01,  2.573101240417920E+01, -3.148332646775387E-03,  5.045024444457325E+02,  1.512460278873945E+08, -3.732427060710093E-01,
2458355.094714629, A.D. 2018-Aug-24 14:16:23.3440,  1.315265104883974E+08, -7.465719189987478E+07,  9.751805997032672E+03,  1.421020099164276E+01,  2.579259794622289E+01, -3.159668210864552E-03,  5.044755197885965E+02,  1.512379560782509E+08, -3.741442755358024E-01,
2458355.344714629, A.D. 2018-Aug-24 20:16:23.3440,  1.318322772418365E+08, -7.409941054013927E+07,  9.683407722081989E+03,  1.410149455883412E+01,  2.585375241221401E+01, -3.174005417728054E-03,  5.044485307575436E+02,  1.512298649702926E+08, -3.750297901649460E-01,
2458355.594714629, A.D. 2018-Aug-25 02:16:23.3440,  1.321356932904305E+08, -7.354031289888188E+07,  9.614667387086898E+03,  1.399254327580274E+01,  2.591447587544764E+01, -3.191339074387400E-03,  5.044214784751103E+02,  1.512217549000474E+08, -3.759002040918996E-01,
2458355.844714629, A.D. 2018-Aug-25 08:16:23.3440,  1.324367533543017E+08, -7.297990828515957E+07,  9.545520379155874E+03,  1.388334795628828E+01,  2.597476838792276E+01, -3.211657926952327E-03,  5.043943639941182E+02,  1.512136261831433E+08, -3.767564984382478E-01,
2458356.094714629, A.D. 2018-Aug-25 14:16:23.3440,  1.327354521705543E+08, -7.241820600716302E+07,  9.475902395922691E+03,  1.377390935881145E+01,  2.603462997734465E+01, -3.234944440977827E-03,  5.043671882957165E+02,  1.512054791137217E+08, -3.775996816399465E-01,
2458356.344714629, A.D. 2018-Aug-25 20:16:23.3440,  1.330317844920737E+08, -7.185521537277552E+07,  9.405749583534896E+03,  1.366422818602655E+01,  2.609406064389843E+01, -3.261174588926607E-03,  5.043399522874100E+02,  1.511973139638453E+08, -3.784307895248509E-01,
2458356.594714629, A.D. 2018-Aug-26 02:16:23.3440,  1.333257450863160E+08, -7.129094569020440E+07,  9.334998679064214E+03,  1.355430508434286E+01,  2.615306035682860E+01, -3.290317648193763E-03,  5.043126568010892E+02,  1.511891309829090E+08, -3.792508851423010E-01,
2458356.844714629, A.D. 2018-Aug-26 08:16:23.3440,  1.336173287340912E+08, -7.072540626868743E+07,  9.263587157238275E+03,  1.344414064383061E+01,  2.621162905086019E+01, -3.322336012772098E-03,  5.042853025910841E+02,  1.511809303970549E+08, -3.800610583490182E-01,
2458357.094714629, A.D. 2018-Aug-26 14:16:23.3440,  1.339065302283477E+08, -7.015860641927838E+07,  9.191453380946070E+03,  1.333373539842191E+01,  2.626976662249767E+01, -3.357185021229725E-03,  5.042578903322525E+02,  1.511727124086004E+08, -3.808624251599526E-01,
2458357.344714629, A.D. 2018-Aug-26 20:16:23.3440,  1.341933443729647E+08, -6.959055545571339E+07,  9.118536755386740E+03,  1.322308982641117E+01,  2.632747292623769E+01, -3.394812803254155E-03,  5.042304206181280E+02,  1.511644771954824E+08, -3.816561268757256E-01,
2458357.594714629, A.D. 2018-Aug-27 02:16:23.3440,  1.344777659815589E+08, -6.902126269535959E+07,  9.044777885220945E+03,  1.311220435125457E+01,  2.638474777072963E+01, -3.435160146459282E-03,  5.042028939591333E+02,  1.511562249107219E+08, -3.824433290018143E-01,
2458357.844714629, A.D. 2018-Aug-27 08:16:23.3440,  1.347597898763107E+08, -6.845073746024720E+07,  8.970118734400719E+03,  1.300107934266271E+01,  2.644159091491631E+01, -3.478160384750240E-03,  5.041753107808835E+02,  1.511479556819150E+08, -3.832252199767305E-01,
2458358.094714629, A.D. 2018-Aug-27 14:16:23.3440,  1.350394108868182E+08, -6.787898907818484E+07,  8.894502788230777E+03,  1.288971511797631E+01,  2.649800206418380E+01, -3.523739308990415E-03,  5.041476714225831E+02,  1.511396696107525E+08, -3.840030097286716E-01,
2458358.344714629, A.D. 2018-Aug-27 20:16:23.3440,  1.353166238489828E+08, -6.730602688395752E+07,  8.817875216979533E+03,  1.277811194381065E+01,  2.655398086654523E+01, -3.571815100126940E-03,  5.041199761355343E+02,  1.511313667725731E+08, -3.847779280809120E-01,
2458358.594714629, A.D. 2018-Aug-28 02:16:23.3440,  1.355914236039338E+08, -6.673186022060673E+07,  8.740183040827513E+03,  1.266627003795146E+01,  2.660952690887907E+01, -3.622298284618353E-03,  5.040922250817661E+02,  1.511230472159519E+08, -3.855512230268193E-01,
2458358.844714629, A.D. 2018-Aug-28 08:16:23.3440,  1.358638049969965E+08, -6.615649844079095E+07,  8.661375295493752E+03,  1.255418957148262E+01,  2.666463971323696E+01, -3.675091711379253E-03,  5.040644183327895E+02,  1.511147109623272E+08, -3.863241588945862E-01,
2458359.094714629, A.D. 2018-Aug-28 14:16:23.3440,  1.361337628767080E+08, -6.557995090822504E+07,  8.581403198096901E+03,  1.244187067112513E+01,  2.671931873323042E+01, -3.730090549231235E-03,  5.040365558684905E+02,  1.511063580056691E+08, -3.870980144202131E-01,
2458359.344714629, A.D. 2018-Aug-28 20:16:23.3440,  1.364012920938857E+08, -6.500222699919690E+07,  8.500220312934369E+03,  1.232931342176643E+01,  2.677356335049993E+01, -3.787182303398140E-03,  5.040086375761628E+02,  1.510979883121890E+08, -3.878740807451477E-01,
2458359.594714629, A.D. 2018-Aug-29 02:16:23.3440,  1.366663875007536E+08, -6.442333610415938E+07,  8.417782716672868E+03,  1.221651786916104E+01,  2.682737287126364E+01, -3.846246849517954E-03,  5.039806632496887E+02,  1.510896018200944E+08, -3.886536593509171E-01,
2458359.844714629, A.D. 2018-Aug-29 08:16:23.3440,  1.369290439501263E+08, -6.384328762939604E+07,  8.334049162603915E+03,  1.210348402278543E+01,  2.688074652293732E+01, -3.907156483371921E-03,  5.039526325888700E+02,  1.510811984393882E+08, -3.894380599395100E-01,
2458360.094714629, A.D. 2018-Aug-29 14:16:23.3440,  1.371892562946586E+08, -6.326209099875934E+07,  8.248981243766844E+03,  1.199021185883449E+01,  2.693368345081122E+01, -3.969775984648649E-03,  5.039245451989132E+02,  1.510727780517143E+08, -3.902285982622575E-01,
2458360.344714629, A.D. 2018-Aug-29 20:16:23.3440,  1.374470193861594E+08, -6.267975565547995E+07,  8.162543554410338E+03,  1.187670132335191E+01,  2.698618271476521E+01, -4.033962693185345E-03,  5.038964005900743E+02,  1.510643405102510E+08, -3.910265938944836E-01,
2458360.594714629, A.D. 2018-Aug-30 02:16:23.3440,  1.377023280749760E+08, -6.209629106404699E+07,  8.074703849866986E+03,  1.176295233549339E+01,  2.703824328599900E+01, -4.099566596366344E-03,  5.038681981774646E+02,  1.510558856396532E+08, -3.918333679461816E-01,
2458360.844714629, A.D. 2018-Aug-30 08:16:23.3440,  1.379551772094492E+08, -6.151170671215899E+07,  7.985433204263449E+03,  1.164896479092915E+01,  2.708986404375160E+01, -4.166430426808532E-03,  5.038399372810252E+02,  1.510474132360443E+08, -3.926502406917297E-01,
2458361.094714629, A.D. 2018-Aug-30 14:16:23.3440,  1.382055616354451E+08, -6.092601211274581E+07,  7.894706166055053E+03,  1.153473856540112E+01,  2.714104377198264E+01, -4.234389770060076E-03,  5.038116171256758E+02,  1.510389230670612E+08, -3.934785290938884E-01,
2458361.344714629, A.D. 2018-Aug-30 20:16:23.3440,  1.384534761959634E+08, -6.033921680606324E+07,  7.802500911228359E+03,  1.142027351845933E+01,  2.719178115598854E+01, -4.303273182733491E-03,  5.037832368416462E+02,  1.510304148719532E+08, -3.943195441898437E-01,
2458361.594714629, A.D. 2018-Aug-31 02:16:23.3440,  1.386989157308309E+08, -5.975133036186141E+07,  7.708799393706024E+03,  1.130556949741270E+01,  2.724207477892788E+01, -4.372902322373307E-03,  5.037547954650031E+02,  1.510218883617405E+08, -3.951745882983017E-01,
